UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
7de68f25-3173-4ce3-94b3-fda780798482	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 14 - Restaurant	Essen	false		אוכל	אֹכֶל	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Essen		2021-08-09T11:17:26.186090700	40
a35198f9-6e8c-4303-a71a-ce7c1d35ed76	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	erzählen	true	ספר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		erzählen	ספר	2021-08-12T14:15:04.885376300	551
8f1d134e-730a-4af6-b148-8f2d410f5d95	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	Erholung	false		נופש	נֹפֶשׁ	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Erholung		2021-08-12T14:13:55.324460800	541
17ca68d0-8c9d-4fbf-a251-12b39c8ef33b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 35 - Tourismus	Ereignis, Event	false		אירוע	אֵרוּעַ	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Event,Ereignis		2021-08-12T14:25:42.955857400	418
2236895d-f568-45f2-8efa-529ae3b3fb84	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 17 - Schlange stehen	einschlafen	false		להירדם	לְהֵרָדֵם	VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	INFINITIVE		einschlafen	רדם	2021-08-09T11:39:36.416256400	344
35119aa7-6675-4514-ab6f-ed5ef002cd3c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	Eltern	true	הוֹרִים			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eltern		2021-08-09T10:43:03.007469200	127
715aed41-2b41-472e-ba73-2cacb6fd27b8	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 20 - Sprachen	es satt haben, genug haben von	true	מאס ל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	INFINITIVE	...מאס ל	genug haben,genug haben von,satt haben,genug,satt,es satt haben	מאס	2021-08-09T11:49:52.140892300	234
0883320a-b5e7-4c8a-b154-8ac6e167cee7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 11 - Zahlen	eins	true	אַחַת			ZAHL,PRONOM	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		1,Eins		2021-08-10T11:22:27.516100700	31
6673c195-c652-4486-baa3-0fcee7ced067	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 17 - Schlange stehen	Eingang	true	כְּנִיסָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eingang		2021-08-09T11:32:24.111061400	203
97440fa8-4070-42d5-aa56-aa71fd4958de	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	es gibt	true	יֵשׁ			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		es gibt,gibt,geben		2021-08-09T09:48:06.917832700	184
