UUID	Ursprung	Datenbank	chapter	German	Hebrew	Hebrew in Latin	expression kinds	gender	numerus	grammatical person	binjan	verb conjugation	verb strength	verb type	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung
8d51d8aa-bf5d-4cc0-bc8a-06a1d76c9c12	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 02	danke	תודה	toda	PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		danke	תודה	2020-12-04T10:27:39.646022800
65ec2e52-de67-421f-a9c7-89b3f92f0ae9	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	das ist	זה	sä	VERB	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		das ist	זה	2020-12-04T10:24:35.988985300
c2b37876-0459-4aca-a856-c4a15cccf1db	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	du	אתה	ata	PERSONALPRONOM	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		du	אתה	2020-12-04T10:24:54.141617800
323abb2d-7802-440d-8de1-b2454e332d4a	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	du	אתה	ata	PERSONALPRONOM	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		du	אתה	2020-12-04T10:25:02.721623800
7bd6b739-e135-42f6-9f9e-d126c6198e7c	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	das ist	זאת	sot	VERB	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		das ist	זאת	2020-12-04T10:24:44.177120100
