UUID	Ursprung	Datenbank	chapter	German	Hebrew	Hebrew in Latin	expression kinds	gender	numerus	grammatical person	binjan	verb conjugation	verb strength	verb type	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung
2955e81d-3bef-4cb9-bb91-83ff5f59c34a	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	Physiker	פיסיקאי	fisikaj	SUBSTANTIV,BERUF	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		Physiker	פיסיקאי	2020-12-04T10:25:57.355814
be08a0c8-68f9-4756-bba3-a877234bb361	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	Psychologe	פּסיכולוג	psicholog	SUBSTANTIV,BERUF	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		Psychologe	פּסיכולוג	2020-12-04T10:26:09.690095600
42ee0210-2bbf-4a8e-a29a-7b6ddd90a331	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	Psychologin	פּסיכולוגית	psichologit	SUBSTANTIV,BERUF	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		Psychologin	פּסיכולוגית	2020-12-04T10:26:15.805092
1cac3a05-b77b-4799-b645-0457148c1a6a	ROSENGARTEN	Ivrit Schritt für Schritt	Rosengarten & Loos IVRIT Schritt für Schritt 01	Physikerin	פיסיקאית	fisikait	SUBSTANTIV,BERUF	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBCONJUGATION_NA	VERBSTRENGTH_NA	VERBTYPE_NA		Physikerin	פיסיקאית	2020-12-04T10:26:03.535094900
